,Week_Of,Mon,Tue,Wed,Thu,Fri
330,2002 Apr-15 to Apr-19,3.27,3.44,3.40,3.50,3.40
331,2002 Apr-22 to Apr-26,3.58,3.63,3.53,3.46,3.32
332,2002 Apr-29 to May- 3,3.44,3.65,3.79,3.65,3.71
333,2002 May- 6 to May-10,3.61,3.50,3.74,3.72,3.70
334,2002 May-13 to May-17,3.62,3.75,3.60,3.45,3.41
335,,,,,,
336,2002 May-20 to May-24,3.44,3.33,3.39,3.38,3.21
337,2002 May-27 to May-31,,3.18,3.30,3.33,3.15
338,2002 Jun- 3 to Jun- 7,3.18,3.31,3.29,3.29,3.11
339,2002 Jun-10 to Jun-14,3.14,3.11,3.15,3.04,3.13
340,2002 Jun-17 to Jun-21,3.34,3.23,3.24,3.33,3.18
341,,,,,,
342,2002 Jun-24 to Jun-28,3.33,3.49,3.92,3.22,3.20
343,2002 Jul- 1 to Jul- 5,3.28,3.17,3.08,,
344,2002 Jul- 8 to Jul-12,3.06,2.97,3.04,2.85,2.87
345,2002 Jul-15 to Jul-19,2.83,2.89,2.97,2.85,2.95
346,2002 Jul-22 to Jul-26,3.01,2.95,2.91,3.05,2.94
347,,,,,,
348,2002 Jul-29 to Aug- 2,3.07,2.97,3.02,3.07,2.90
349,2002 Aug- 5 to Aug- 9,2.81,2.80,2.73,2.75,2.83
350,2002 Aug-12 to Aug-16,2.91,3.01,3.03,2.92,3.10
351,2002 Aug-19 to Aug-23,3.10,3.25,3.22,3.36,3.48
352,2002 Aug-26 to Aug-30,3.51,3.47,3.31,3.25,3.12
353,,,,,,
354,2002 Sep- 2 to Sep- 6,,3.10,3.13,3.20,3.39
355,2002 Sep- 9 to Sep-13,3.24,3.35,3.33,3.22,3.37
356,2002 Sep-16 to Sep-20,3.45,3.46,3.80,3.90,3.95
357,2002 Sep-23 to Sep-27,3.87,4.00,3.76,3.61,3.76
358,2002 Sep-30 to Oct- 4,4.09,4.41,4.27,4.23,3.86
359,,,,,,
360,2002 Oct- 7 to Oct-11,3.77,3.86,3.91,3.93,3.80
361,2002 Oct-14 to Oct-18,4.19,4.19,4.10,4.10,4.11
362,2002 Oct-21 to Oct-25,4.23,4.20,4.24,4.30,4.12
